Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
no2_did886,MLP,0.2857142857142857,0.0909090909090909,0.8571428571428571,0.1428571428571428,0.64,0.8571428571428571,3.0,0.1428571428571428,1.0,0.111587982832618,0.7142857142857143,0.0,0.0871212121212121,2.5,7.0,0.8571428571428571,0.0338597194388776,0.2
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,LogisticRegression,0.0476190476190476,0.0952380952380952,0.1904761904761904,0.0952380952380952,0.56,0.1904761904761904,5.0,0.1428571428571428,2.0,0.1685823754789272,0.0476190476190476,0.0,0.0476190476190476,7.0,3.0,0.1285714285714285,0.0016206126532398,0.3
oil_spill_did311,LogisticRegression,0.0204081632653061,0.0909090909090909,0.979591836734694,0.979591836734694,0.9574468085106383,0.979591836734694,3.0,0.0204081632653061,6.5,0.1159420289855072,0.979591836734694,0.0,0.0871212121212121,2.5,2.5,0.9965986394557824,0.0,0.1
pc4_did1049,LogisticRegression,0.027027027027027,0.027027027027027,0.972972972972973,0.7567567567567568,0.8827586206896552,0.972972972972973,4.5,0.027027027027027,5.0,0.1139896373056994,0.972972972972973,0.0,0.027027027027027,3.0,1.0,0.996996996996997,0.0014591476934114,0.1
phoneme_did1489,KNN,0.2,0.0909090909090909,0.2,0.2,0.7837338262476895,0.4,2.0,0.2,3.0,0.2304060434372049,0.4,0.2,0.0871212121212121,2.5,7.0,0.3,0.0072154497234732,0.2
pm10_did750,DecisionTree,0.2857142857142857,0.0909090909090909,0.8571428571428571,0.1428571428571428,0.58,0.8571428571428571,2.0,0.1428571428571428,5.0,0.1411764705882353,0.7142857142857143,0.3,0.0871212121212121,6.5,6.5,0.9047619047619048,0.0627391591903807,0.5
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,MLP,0.0384615384615384,0.0769230769230769,0.5384615384615384,0.5384615384615384,0.735,0.8846153846153846,3.0,0.0769230769230769,2.0,0.2047244094488189,0.1538461538461538,0.0,0.0769230769230769,2.5,7.0,0.8061538461538461,1.60080040027599e-05,0.0
prnn_synth_did464,SVM,0.5,0.0909090909090909,0.5,0.5,1.0,0.5,2.0,0.5,1.0,0.2531645569620253,0.5,0.0,0.0871212121212121,3.0,5.0,0.0,0.0245032756356504,0.0
pwLinear_did721,SVM,0.0,0.0909090909090909,0.1,0.8,1.0,0.1,2.0,0.1,3.0,0.2535211267605634,0.0,0.1,0.0871212121212121,3.0,4.0,0.2222222222222222,0.0004522613065326,0.2
qsar-biodeg_did1494,MLP,0.048780487804878,0.0909090909090909,0.902439024390244,0.1463414634146341,0.839622641509434,0.8048780487804879,3.0,0.024390243902439,1.0,0.2139917695473251,0.7317073170731707,0.1,0.0871212121212121,2.5,6.0,0.9768292682926828,2.4281230608743063e-05,0.0
quake_did772,LogisticRegression,0.3333333333333333,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.5576036866359447,0.6666666666666666,1.0,0.3333333333333333,3.0,0.1735593220338983,0.3333333333333333,0.0,0.0871212121212121,3.0,5.0,0.3333333333333333,209.10220505889893,0.1
rmftsa_sleepdata_did679,DecisionTree,0.5,0.5,0.5,0.5,0.6213592233009708,0.5,1.0,0.5,3.5,0.2630744849445325,0.5,0.2,0.5,2.0,2.0,0.0,1.0039725474248522,0.1
seeds_did1499,MLP,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.6666666666666666,0.1428571428571428,1.5,0.2857142857142857,1.0,0.1935483870967742,0.1428571428571428,0.0,0.2857142857142857,2.0,6.0,0.5714285714285714,0.0026342068010936,0.0
segment_did958,LogisticRegression,0.1052631578947368,0.0909090909090909,0.5263157894736842,0.8947368421052632,0.9437229437229436,0.4736842105263157,4.0,0.1052631578947368,2.5,0.1714285714285714,0.5789473684210527,0.4,0.0871212121212121,2.0,7.0,0.7894736842105263,0.0,0.1
seismic-bumps_did1500,MLP,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.6666666666666666,0.1428571428571428,2.0,0.2857142857142857,1.0,0.1935483870967742,0.1428571428571428,0.0,0.2857142857142857,2.0,6.0,0.5714285714285714,0.0026342068010936,0.0
space_ga_did737,DecisionTree,0.8333333333333334,0.0909090909090909,0.8333333333333334,0.6666666666666666,0.8032258064516129,0.8333333333333334,5.0,0.8333333333333334,3.0,0.1348571428571428,0.8333333333333334,0.1,0.0871212121212121,4.5,1.0,0.6666666666666666,0.0783490758521245,0.1
stock_did841,KNN,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222,1.0,0.3333333333333333,4.5,0.1111111111111111,4.0,0.1772151898734177,0.2222222222222222,0.0,0.1111111111111111,3.0,4.5,0.5833333333333334,0.1960468429371621,0.0
